plant,helps_plant,by
Nasturtium,Broccoli (Purple),"repelling aphids, cabbage worms, and other pests, while also attracting beneficial insects like ladybugs and hoverflies."
Oregano,Broccoli (Purple),"repelling cabbage worms and other pests, while also improving soil health and flavor."
Celery,Broccoli (Purple),"providing shade, conserving soil moisture, and attracting beneficial insects like predatory beetles and parasitic wasps."
Beans (Borlotti),Celery,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Celery plants."
Chives,Celery,"repelling aphids and carrot flies, while also improving soil health and deterring larger pests like rabbits."
Lovage,Celery,"repelling aphids, spider mites, and other pests, while also improving soil health and deterring larger pests like rabbits."
Beans (French),Celery,"providing shade, conserving soil moisture, and attracting beneficial insects like predatory beetles and parasitic wasps."
Tansy,Celery,"repelling aphids, flea beetles, and other pests, while also improving soil health and deterring larger pests like rabbits."
Nasturtium,Celery,"repelling aphids, flea beetles, and other pests, while also attracting beneficial insects like predatory beetles and parasitic wasps."
Chives,Salsify,"repelling aphids and carrot flies, while also improving soil health and deterring larger pests like rabbits."
Beans (French),Salsify,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Salsify plants."
Beans (Broad),Salsify,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Salsify plants."
Dill,Brussels Sprouts,"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Onion,Brussels Sprouts,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Calendula,Brussels Sprouts,"repelling cabbage moths and other pests, while also attracting beneficial insects like ladybugs and lacewings."
Chamomile,Brussels Sprouts,"improving soil health and flavor, while also attracting beneficial insects like hoverflies and parasitic wasps."
Alyssum,Brussels Sprouts,"attracting beneficial insects like lacewings and parasitic wasps, which prey on pests like aphids and caterpillars."
Sage,Brussels Sprouts,"repelling cabbage moths and other pests, while also improving soil health and flavor."
Buckwheat,Brussels Sprouts,"suppressing weeds, attracting beneficial insects like hoverflies and predatory wasps, and improving soil health with its extensive root system."
Onion (Autumn planted),Brussels Sprouts,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Rosemary,Brussels Sprouts,"repelling cabbage worms and other pests, while also improving soil health and flavor."
Mint,Brussels Sprouts,"repelling cabbage moths and other pests, while also improving soil health and deterring larger pests like rodents."
Thyme,Brussels Sprouts,"repelling cabbage worms and other pests, while also improving soil health and flavor."
Onion (Red),Brussels Sprouts,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Nasturtium,Brussels Sprouts,"repelling aphids, cabbage worms, and other pests, while also attracting beneficial insects like ladybugs and hoverflies."
Dill,Broccoli (Green),"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Agastache,Broccoli (Green),"attracting beneficial insects like hoverflies and parasitic wasps, which prey on pests like aphids and caterpillars."
Cress,Broccoli (Green),"attracting beneficial insects like lacewings and parasitic wasps, which prey on pests like aphids and caterpillars."
Chamomile,Broccoli (Green),"improving soil health and flavor, while also attracting beneficial insects like hoverflies and parasitic wasps."
Alyssum,Broccoli (Green),"attracting beneficial insects like lacewings and parasitic wasps, which prey on pests like aphids and caterpillars."
Sage,Broccoli (Green),"repelling cabbage moths and other pests, while also improving soil health and flavor."
Crimson Clover,Broccoli (Green),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Green Broccoli plants."
Mint,Broccoli (Green),"repelling cabbage moths and other pests, while also improving soil health and deterring larger pests like rodents."
Thyme,Broccoli (Green),"repelling cabbage worms and other pests, while also improving soil health and flavor."
Onion (Red),Broccoli (Green),"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Nasturtium,Broccoli (Green),"repelling aphids, cabbage worms, and other pests, while also attracting beneficial insects like ladybugs and hoverflies."
Chives,Carrot,"repelling aphids and carrot flies, while also improving soil health and deterring larger pests like rabbits."
Leek,Carrot,"repelling carrot flies, onion flies, and other pests, while also improving soil health and deterring larger pests like rabbits."
Sage,Carrot,"repelling carrot flies, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Coriander,Carrot,"repelling carrot flies and aphids, while also improving soil health and deterring larger pests like rabbits."
Peas,Carrot,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Carrot plants."
Chives (Garlic),Carrot,"repelling aphids, carrot flies, and other pests, while also improving soil health and deterring larger pests like rabbits."
Rosemary,Carrot,"repelling carrot flies, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Mangetout,Carrot,"providing shade, conserving soil moisture, and attracting beneficial insects like ladybugs and lacewings."
Dill,Cauliflower,"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Onion,Cauliflower,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Onion (Red),Cauliflower,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Tansy,Cauliflower,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Sage,Cauliflower,"repelling cabbage moths and other pests, while also improving soil health and flavor."
Crimson Clover,Cauliflower,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of Cauliflower plants."
Onion (Autumn planted),Cauliflower,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Zinnia,Cauliflower,"attracting beneficial insects like ladybugs and lacewings, which prey on pests like aphids and caterpillars."
Spring Onion,Cauliflower,"repelling cabbage worms, aphids, and other pests, while also improving soil health and deterring larger pests like rabbits."
Mint,Cauliflower,"repelling cabbage moths and other pests, while also improving soil health and deterring larger pests like rodents."
Thyme,Cauliflower,"repelling cabbage worms and other pests, while also improving soil health and flavor."
Nasturtium,Cauliflower,"repelling aphids, cabbage worms, and other pests, while also attracting beneficial insects like ladybugs and hoverflies."
Oregano,Cauliflower,"repelling cabbage worms and other pests, while also improving soil health and flavor."
Celery,Cauliflower,"providing shade, conserving soil moisture, and attracting beneficial insects like predatory beetles and parasitic wasps."
Buckwheat,Courgette,"suppressing weeds, attracting beneficial insects like hoverflies and predatory wasps, and improving soil health with its extensive root system."
Zinnia,Courgette,"attracting beneficial insects like ladybugs and lacewings, which prey on pests like aphids and caterpillars."
Nasturtium,Courgette,"repelling aphids, cucumber beetles, and other pests, while also attracting beneficial insects like predatory beetles and parasitic wasps."
Dill,Cucumber,"attracting beneficial insects like predatory wasps and ladybugs, which prey on pests like aphids and cucumber beetles."
Tansy,Cucumber,"repelling harmful insects like cucumber beetles and squash bugs, while also deterring pests like ants and flying insects."
Radish,Cucumber,"repelling cucumber beetles and other pests, while also acting as a trap crop to divert pests away from the cucumber plants."
Beans (Runner),Cucumber,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of cucumber plants."
Chilli Pepper,Cucumber,"repelling pests like aphids, spider mites, and cucumber beetles, while also deterring larger pests like rabbits and deer."
Oregano,Cucumber,"repelling pests like cucumber beetles, while also attracting beneficial insects like predatory wasps and hoverflies."
Nasturtium,Cucumber,"repelling cucumber beetles, aphids, and other pests, while also attracting beneficial insects like predatory beetles and parasitic wasps."
Beans (Broad),Garlic,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of garlic plants."
Dill,Kale,"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Soya beans,Kale,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of kale plants."
Marigold,Kale,"repelling pests like cabbage moths, aphids, and flea beetles, while also attracting beneficial insects like ladybugs and lacewings."
Chamomile,Kale,"improving soil health and flavor, while also attracting beneficial insects like hoverflies and parasitic wasps."
Agastache,Kale,"repelling pests like cabbage moths and aphids, while also attracting beneficial insects like hoverflies and predatory wasps."
Catnip,Kale,"repelling pests like aphids, flea beetles, and cabbage worms, while also attracting beneficial insects like predatory beetles and parasitic wasps."
Buckwheat,Kale,"suppressing weeds, attracting beneficial insects like hoverflies and predatory wasps, and improving soil health with its extensive root system."
Parsley,Kale,"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Mint,Kale,"repelling pests like aphids and cabbage worms, while also improving soil health and deterring larger pests like rodents."
Nasturtium,Kale,"repelling aphids, cabbage worms, and flea beetles, while also attracting beneficial insects like ladybugs and hoverflies."
Tansy,Kale,"repelling pests like aphids and flea beetles, while also improving soil health and deterring larger pests like rabbits."
Celery,Kale,"providing shade, conserving soil moisture, and attracting beneficial insects like predatory beetles and parasitic wasps."
Chives,Lettuce (Loose Leaf),"repelling aphids and other pests, while also improving soil health and deterring larger pests like rabbits."
Onion,Lettuce (Loose Leaf),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Dill,Lettuce (Loose Leaf),"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Alyssum,Lettuce (Loose Leaf),"attracting beneficial insects like hoverflies and parasitic wasps, which prey on pests like aphids and caterpillars."
Poached Egg Plant,Lettuce (Loose Leaf),"attracting beneficial insects like ladybugs and lacewings, which prey on pests like aphids and caterpillars."
Tansy,Lettuce (Loose Leaf),"repelling pests like aphids and flea beetles, while also improving soil health and deterring larger pests like rabbits."
Cucumber,Lettuce (Loose Leaf),"providing shade, conserving soil moisture, and deterring pests like slugs and snails."
Radish,Lettuce (Loose Leaf),"repelling pests like aphids and flea beetles, while also improving soil health and deterring larger pests like rabbits."
Garlic,Lettuce (Loose Leaf),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Peas,Lettuce (Loose Leaf),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of lettuce plants."
Onion (Red),Lettuce (Loose Leaf),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Oregano,Lettuce (Loose Leaf),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Nasturtium,Lettuce (Loose Leaf),"repelling aphids, caterpillars, and other pests, while also attracting beneficial insects like ladybugs and hoverflies."
Chives,Lettuce (Headed),"repelling aphids and other pests, while also improving soil health and deterring larger pests like rabbits."
Onion,Lettuce (Headed),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Dill,Lettuce (Headed),"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Alyssum,Lettuce (Headed),"attracting beneficial insects like hoverflies and parasitic wasps, which prey on pests like aphids and caterpillars."
Poached Egg Plant,Lettuce (Headed),"attracting beneficial insects like ladybugs and lacewings, which prey on pests like aphids and caterpillars."
Tansy,Lettuce (Headed),"repelling pests like aphids and flea beetles, while also improving soil health and deterring larger pests like rabbits."
Cucumber,Lettuce (Headed),"providing shade, conserving soil moisture, and deterring pests like slugs and snails."
Radish,Lettuce (Headed),"repelling pests like aphids and flea beetles, while also improving soil health and deterring larger pests like rabbits."
Garlic,Lettuce (Headed),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Peas,Lettuce (Headed),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of lettuce plants."
Onion (Red),Lettuce (Headed),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Oregano,Lettuce (Headed),"repelling aphids, slugs, and other pests, while also improving soil health and deterring larger pests like rabbits."
Nasturtium,Lettuce (Headed),"repelling aphids, caterpillars, and other pests, while also attracting beneficial insects like ladybugs and hoverflies."
Dill,Tomato (Cherry),"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Calendula,Tomato (Cherry),"repelling pests like aphids and whiteflies, while also attracting beneficial insects like ladybugs and lacewings."
Marigold,Tomato (Cherry),"repelling pests like nematodes and whiteflies, while also attracting beneficial insects like ladybugs and lacewings."
Radish,Tomato (Cherry),"repelling pests like aphids and flea beetles, while also improving soil health and deterring larger pests like rabbits."
Sweet Potato,Tomato (Cherry),"providing shade, conserving soil moisture, and deterring pests like nematodes and root-knot nematodes."
Garlic,Tomato (Cherry),"repelling pests like aphids, whiteflies, and spider mites, while also improving soil health and deterring larger pests like rabbits."
Parsley,Tomato (Cherry),"repelling pests like asparagus beetles and spider mites, while also attracting beneficial insects like predatory wasps."
Crimson Clover,Tomato (Cherry),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of tomato plants."
Asparagus,Tomato (Cherry),"repelling nematodes and other soil-borne pests, while also improving soil structure and fertility."
Basil,Tomato (Cherry),"repelling pests like aphids, whiteflies, and tomato hornworms, while also improving the flavor of nearby tomatoes."
Rosemary,Tomato (Cherry),"repelling pests like aphids, whiteflies, and spider mites, while also improving soil health and deterring larger pests like rabbits."
Beans (French),Tomato (Cherry),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of tomato plants."
Thyme,Tomato (Cherry),"repelling pests like whiteflies and spider mites, while also improving soil health and deterring larger pests like rabbits."
Celery,Tomato (Cherry),"repelling pests like aphids and whiteflies, while also improving soil health and deterring larger pests like rabbits."
Fenugreek,Onion,"attracting beneficial insects like predatory wasps and hoverflies, which prey on onion pests like onion maggots and thrips."
Marigold,Onion,"repelling pests like onion maggots, thrips, and nematodes, while also improving soil health and deterring larger pests like rabbits."
Radish,Parsnip,"breaking up compacted soil, improving soil structure, and deterring soil-borne pests like carrot rust fly larvae."
Beans (French),Parsnip,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of parsnip plants."
Peas,Parsnip,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of parsnip plants."
Chives,Peas,"repelling aphids and other pests, while also improving soil health and deterring larger pests like rabbits."
Alyssum,Peas,"attracting beneficial insects like hoverflies and parasitic wasps, which prey on pests like aphids and caterpillars."
Sweetcorn,Peas,providing support for climbing pea plants and conserving soil moisture with its dense foliage.
Lettuce (Headed),Peas,"providing shade, conserving soil moisture, and deterring pests like aphids and flea beetles."
Lettuce (Loose Leaf),Peas,"providing shade, conserving soil moisture, and deterring pests like aphids and flea beetles."
Mint,Peas,"repelling pests like aphids and flea beetles, while also improving soil health and deterring larger pests like rodents."
Chives,Pepper,"repelling aphids and other pests, while also improving soil health and deterring larger pests like rabbits."
Leek,Pepper,"repelling aphids, spider mites, and other pests, while also improving soil health and deterring larger pests like rabbits."
Marjoram,Pepper,"repelling pests like aphids and spider mites, while also improving the flavor of nearby peppers."
Basil,Pepper,"repelling pests like aphids, whiteflies, and spider mites, while also improving soil health and deterring larger pests like rabbits."
Rosemary,Pepper,"repelling pests like aphids, whiteflies, and spider mites, while also improving soil health and deterring larger pests like rabbits."
Oregano,Pepper,"repelling pests like aphids, whiteflies, and spider mites, while also improving soil health and deterring larger pests like rabbits."
Onion,Potatoes (Early),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Sage,Potatoes (Early),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Coriander,Potatoes (Early),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Onion (Autumn planted),Potatoes (Early),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Beans (Broad),Potatoes (Early),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of potato plants."
Basil,Potatoes (Early),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Butter Bean,Potatoes (Early),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of potato plants."
Beans (French),Potatoes (Early),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of potato plants."
Onion (Red),Potatoes (Early),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Horseradish,Potatoes (Early),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Onion,Potatoes (Maincrop),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Sage,Potatoes (Maincrop),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Coriander,Potatoes (Maincrop),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Onion (Autumn planted),Potatoes (Maincrop),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Beans (Broad),Potatoes (Maincrop),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of potato plants."
Basil,Potatoes (Maincrop),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Butter Bean,Potatoes (Maincrop),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of potato plants."
Beans (French),Potatoes (Maincrop),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of potato plants."
Onion (Red),Potatoes (Maincrop),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Horseradish,Potatoes (Maincrop),"repelling pests like potato beetles, aphids, and wireworms, while also improving soil health and deterring larger pests like rabbits."
Nasturtium,Radish,"repelling pests like flea beetles and aphids, while also attracting beneficial insects like ladybugs and hoverflies."
Peas,Radish,"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of radish plants."
Dill,Rocket,"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Radish,Rocket,"breaking up compacted soil, allowing better root penetration and water absorption for rocket plants."
Mint,Rocket,"repelling pests like flea beetles and aphids, while also attracting beneficial insects that prey on these pests."
Beans (French),Rocket,"enriching the soil with nitrogen, promoting healthy foliage growth and overall vigor in rocket plants."
Thyme,Rocket,"repelling pests like cabbage worms and loopers, which can damage rocket leaves, while also adding flavor to nearby plants."
Nasturtium,Rocket,"attracting aphids away from rocket plants, acting as sacrificial hosts, and also enhancing the aesthetic appeal of the garden."
Celery,Rocket,"repelling pests like aphids and whiteflies, while also providing shade and moisture retention for the delicate rocket plants."
Dill,Spinach,"attracting beneficial insects like parasitic wasps and ladybugs, which prey on spinach pests like aphids and leaf miners."
Radish,Spinach,"loosening compacted soil and improving aeration, allowing spinach roots to grow deeper and access nutrients more effectively."
Coriander,Spinach,"repelling pests like spider mites and aphids, while also attracting hoverflies and parasitic wasps that prey on spinach pests."
Sweetcorn,Spinach,"providing shade during hot weather, preventing the spinach from bolting prematurely and extending the harvest period."
Beans (Runner),Spinach,"fixing nitrogen in the soil, which boosts leafy green growth and overall plant health."
Beans (French),Spinach,"providing shade and retaining moisture in the soil, creating a more favorable environment for spinach growth."
Celery,Spinach,"repelling pests like leaf miners and aphids, while also enhancing soil fertility with its deep root system."
Lovage,Squash (Winter),"repelling pests like squash bugs and aphids, while also improving soil health and providing natural weed suppression."
Buckwheat,Squash (Winter),"attracting beneficial insects like pollinators and predatory insects, which help control pest populations."
Sweetcorn,Squash (Winter),"providing a natural trellis for vine growth, maximizing space and improving air circulation around squash plants."
Beans (Runner),Squash (Winter),"fixing nitrogen in the soil, promoting healthy vine growth and robust fruit development."
Peas,Squash (Winter),"fixing nitrogen in the soil, enhancing overall plant growth and vigor, leading to better yields."
Crimson Clover,Squash (Winter),"suppressing weeds, improving soil structure, and attracting pollinators to enhance fruit set."
Borage,Squash (Winter),"repelling pests like squash bugs and cabbage worms, while also improving soil health with its deep taproot."
Tansy,Squash (Winter),"repelling pests like squash bugs and cucumber beetles, while also attracting beneficial insects like predatory wasps."
Nasturtium,Squash (Winter),"repelling pests like squash bugs and aphids, while also attracting pollinators to ensure proper fruit development."
Beans (French),Strawberry,"fixing nitrogen in the soil, promoting healthy foliage growth and enhancing fruit production."
Garlic,Strawberry,"repelling pests like aphids and spider mites, while also deterring diseases such as gray mold and powdery mildew."
Nigella,Strawberry,"attracting beneficial insects like pollinators and predatory insects, which help control pest populations and enhance fruit set."
Chives,Swede,"repelling pests like aphids and flea beetles, while also enhancing soil health with their shallow root system."
Onion,Swede,"deterring pests like cabbage worms and root maggots, while also improving soil health and providing natural weed suppression."
Radish,Swede,"breaking up compacted soil and improving aeration, allowing swede roots to develop fully and access nutrients more effectively."
Garlic,Swede,"repelling pests like cabbage worms and flea beetles, while also deterring diseases such as clubroot and powdery mildew."
Peas,Swede,"fixing nitrogen in the soil, promoting healthy leafy growth and enhancing overall plant vigor."
Mangetout,Swede,providing physical support for the plants and creating a microclimate that protects them from harsh weather conditions.
Onion (Red),Swede,"deterring pests like aphids and flea beetles, while also improving soil health and providing natural weed suppression."
Beans (Borlotti),Swiss Chard,"fixing nitrogen in the soil, promoting healthy leafy growth and enhancing overall plant vigor."
Onion,Swiss Chard,"deterring pests like aphids and flea beetles, while also improving soil health and providing natural weed suppression."
Soya beans,Swiss Chard,"fixing nitrogen in the soil, promoting healthy foliage growth and enhancing overall plant vigor."
Garlic,Swiss Chard,"repelling pests like leaf miners and aphids, while also deterring diseases such as downy mildew and leaf spot."
Onion (Autumn planted),Swiss Chard,"deterring pests like aphids and flea beetles, while also improving soil health and providing natural weed suppression."
Beans (French),Swiss Chard,"fixing nitrogen in the soil, promoting healthy leafy growth and enhancing overall plant vigor."
Onion (Red),Swiss Chard,"deterring pests like aphids and flea beetles, while also improving soil health and providing natural weed suppression."
Dill,Tomato (Regular),"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Calendula,Tomato (Regular),"repelling pests like whiteflies and aphids, while also attracting pollinators like bees and butterflies."
Marigold,Tomato (Regular),"repelling pests like nematodes and whiteflies, while also improving soil health and deterring diseases such as root rot and damping-off."
Radish,Tomato (Regular),"loosening compacted soil and improving drainage, which promotes healthier tomato plant growth and makes it easier for the plants to access nutrients."
Sweet Potato,Tomato (Regular),"providing ground cover, which helps conserve soil moisture and suppresses weeds, creating a more favorable environment for tomato plants."
Garlic,Tomato (Regular),"repelling pests like aphids, spider mites, and whiteflies, while also deterring diseases such as blight and powdery mildew."
Parsley,Tomato (Regular),"attracting beneficial insects like predatory wasps and hoverflies, which prey on pests like aphids and caterpillars."
Crimson Clover,Tomato (Regular),"fixing nitrogen in the soil, which improves soil fertility and benefits the overall health and growth of tomato plants."
Asparagus,Tomato (Regular),"repelling nematodes and other soil-borne pests, while also providing a natural mulch that helps conserve soil moisture and suppress weeds."
Basil,Tomato (Regular),"repelling pests like aphids, whiteflies, and tomato hornworms, while also enhancing the flavor of tomatoes when planted nearby."
Rosemary,Tomato (Regular),"repelling pests like aphids, whiteflies, and spider mites, while also deterring diseases such as powdery mildew and damping-off."
Beans (French),Tomato (Regular),"fixing nitrogen in the soil, which improves soil fertility and promotes healthier tomato plants."
Thyme,Tomato (Regular),"repelling pests like whiteflies, aphids, and tomato hornworms, while also enhancing the flavor of tomatoes when planted nearby."
Celery,Tomato (Regular),"repelling pests like aphids and spider mites, while also improving soil health and deterring larger pests like slugs and snails."
Nasturtium,Turnip,
Winter Peas,Turnip,"repelling pests like aphids, cabbage moths, and caterpillars, while also attracting beneficial insects that prey on these pests."
Peas,Turnip,"fixing nitrogen in the soil, promoting healthy leafy growth and enhancing overall plant vigor."
Dill,Cabbage (Summer),"fixing nitrogen in the soil, promoting healthy leafy growth and enhancing overall plant vigor."
Onion,Cabbage (Summer),"attracting beneficial insects like ladybugs and lacewings, which prey on pests like aphids and caterpillars."
Cress,Cabbage (Summer),"deterring pests like cabbage worms and flea beetles, while also improving soil health and providing natural weed suppression."
